wizardryvariantsdaphne,2024/10/30,45669,28781,53
wizardryvariantsdaphne,2024/10/31,34069,22897,58
wizardryvariantsdaphne,2024/11/1,22970,19947,43
wizardryvariantsdaphne,2024/11/2,18327,16133,33
wizardryvariantsdaphne,2024/11/3,27312,13843,46
wizardryvariantsdaphne,2024/11/4,40510,22938,42
wizardryvariantsdaphne,2024/11/5,9519,7023,35
wizardryvariantsdaphne,2024/11/6,22011,15793,45
wizardryvariantsdaphne,2024/11/7,13907,6642,38
wizardryvariantsdaphne,2024/11/8,12399,4176,35
wizardryvariantsdaphne,2024/11/9,20760,9352,42
wizardryvariantsdaphne,2024/11/10,12671,11113,31
wizardryvariantsdaphne,2024/11/11,11408,8027,33
wizardryvariantsdaphne,2024/11/12,12963,11339,44
wizardryvariantsdaphne,2024/11/13,20937,16062,47
wizardryvariantsdaphne,2024/11/14,37147,12665,44
wizardryvariantsdaphne,2024/11/15,25201,21437,39
wizardryvariantsdaphne,2024/11/16,36047,16596,39
wizardryvariantsdaphne,2024/11/17,32763,13231,43
wizardryvariantsdaphne,2024/11/18,6792,6061,31
wizardryvariantsdaphne,2024/11/19,20634,16117,24
wizardryvariantsdaphne,2024/11/20,13480,6840,22
wizardryvariantsdaphne,2024/11/21,6022,5745,27
wizardryvariantsdaphne,2024/11/22,4914,2722,33
wizardryvariantsdaphne,2024/11/23,25943,13409,36
wizardryvariantsdaphne,2024/11/24,14859,4896,25
wizardryvariantsdaphne,2024/11/25,2702,2354,21
wizardryvariantsdaphne,2024/11/26,15727,4458,26
wizardryvariantsdaphne,2024/11/27,7737,5517,29
wizardryvariantsdaphne,2024/11/28,4988,4774,28
wizardryvariantsdaphne,2024/11/29,4084,3242,32
wizardryvariantsdaphne,2024/11/30,5389,4834,29
wizardryvariantsdaphne,2024/12/1,4885,2712,39
wizardryvariantsdaphne,2024/12/2,3269,1925,37
wizardryvariantsdaphne,2024/12/3,7551,6806,40
wizardryvariantsdaphne,2024/12/4,11671,10691,26
wizardryvariantsdaphne,2024/12/5,6392,6254,18
wizardryvariantsdaphne,2024/12/6,18298,15836,35
wizardryvariantsdaphne,2024/12/7,9761,5493,17
wizardryvariantsdaphne,2024/12/8,12691,11010,26
wizardryvariantsdaphne,2024/12/9,3807,3707,17
wizardryvariantsdaphne,2024/12/10,8313,7964,17
wizardryvariantsdaphne,2024/12/11,8724,7930,19
wizardryvariantsdaphne,2024/12/12,4083,1162,18
wizardryvariantsdaphne,2024/12/13,7936,7919,16
wizardryvariantsdaphne,2024/12/14,17265,7560,21
wizardryvariantsdaphne,2024/12/15,8810,4164,17
wizardryvariantsdaphne,2024/12/16,7210,4797,21
wizardryvariantsdaphne,2024/12/17,11855,5383,19
wizardryvariantsdaphne,2024/12/18,2339,2166,15
wizardryvariantsdaphne,2024/12/19,11914,10792,29
wizardryvariantsdaphne,2024/12/20,13393,9751,31
wizardryvariantsdaphne,2024/12/21,9441,8607,24
wizardryvariantsdaphne,2024/12/22,14251,14187,17
wizardryvariantsdaphne,2024/12/23,5983,4470,20
wizardryvariantsdaphne,2024/12/24,10981,4077,25
wizardryvariantsdaphne,2024/12/25,5680,5614,23
wizardryvariantsdaphne,2024/12/26,37650,24632,32
wizardryvariantsdaphne,2024/12/27,23650,17937,30
wizardryvariantsdaphne,2024/12/28,17876,13318,25
wizardryvariantsdaphne,2024/12/29,14502,13121,21
wizardryvariantsdaphne,2024/12/30,10482,8100,23
wizardryvariantsdaphne,2024/12/31,22302,13324,20
wizardryvariantsdaphne,2025/1/1,10135,7956,28
wizardryvariantsdaphne,2025/1/2,23918,23581,24
wizardryvariantsdaphne,2025/1/3,16890,16476,19
wizardryvariantsdaphne,2025/1/4,22796,20436,23
wizardryvariantsdaphne,2025/1/5,7935,6959,15
wizardryvariantsdaphne,2025/1/6,10885,10481,17
